sentence,mysql_sql_command,pg_sql_command
,SELECT companies.* FROM companies LIMIT 100;,SELECT companies.* FROM companies LIMIT 100;
companies,SELECT companies.* FROM companies LIMIT 100;,SELECT companies.* FROM companies LIMIT 100;
show companies,SELECT companies.* FROM companies LIMIT 100;,SELECT companies.* FROM companies LIMIT 100;
show 5 companies,SELECT companies.* FROM companies LIMIT 5;,SELECT companies.* FROM companies LIMIT 5;
show companies where name is Google,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;
show company which name is Google,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;
show companies name Google,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;
show company name Google,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;
show startups,SELECT companies.* FROM companies LIMIT 100;,SELECT companies.* FROM companies LIMIT 100;
show 5 startups,SELECT companies.* FROM companies LIMIT 5;,SELECT companies.* FROM companies LIMIT 5;
show startups where name is Google,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;
show startup which name is Google,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;
show startups name Google,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;
show startup name Google,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;,SELECT companies.* FROM companies WHERE LOWER(companies.name) = 'google' LIMIT 100;
show companies where city is Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies which city is Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show company which city is Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies city Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show company city Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies where city is Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies which city is Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show company which city is Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies city Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show company city Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
list companies based in cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies from Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show company from Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies from Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show company from Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies in Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show company in Mountain View,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""mountain view""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'mountain view' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies in Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show company in Cupertino,"SELECT companies.* FROM companies WHERE JSON_CONTAINS(LOWER(companies.city), '[""cupertino""]') = 1 LIMIT 100;",SELECT companies.* FROM companies WHERE 'cupertino' = ANY( LOWER(companies.city::text)::text[]) LIMIT 100;
show companies where founded year is 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show companies which founded year is 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show company which founded year is 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show companies founded year 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show company founded year 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show company which was founded in 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
show companies where opened year is 1998,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;,SELECT companies.* FROM companies WHERE EXTRACT(year FROM companies.founded_year) = '1998' LIMIT 100;
